Description,Price (Eur),Number of Rooms,Number of Beds,Area in (sqm),Website,Qualities,Types,Names-Places
"Modern, gorgeous home (Zehlendorf)","€2,950",3,3,115 m²,https://wunderflats.com/en/furnished-apartment/modern-gorgeous-home-zehlendorf/59ca32d9cc2cf65f1ea4071c?dataLayerKey=m7slvBU9FCNjqTJY9vkKm,['gorgeous'],['home'],"['Modern', 'Zehlendorf']"
Neat loft in Charlottenburg,"€1,490",2,1,68 m²,https://wunderflats.com/en/furnished-apartment/neat-loft-in-charlottenburg/5ffc1731fb69ca000692c6ad?dataLayerKey=m7slvBU9FCNjqTJY9vkKm,[],['loft'],"['Neat', 'Charlottenburg']"
Street art flat in Kreuzberg (Berlin),"€1,200",1,1,35 m²,https://wunderflats.com/en/furnished-apartment/street-art-flat-in-kreuzberg-berlin/589c20913f2a00b62cb795b4?dataLayerKey=m7slvBU9FCNjqTJY9vkKm,[],[],"['Street', 'Kreuzberg', 'Berlin']"
Fantastic flat in Mitte,"€2,480",2,2,65 m²,https://wunderflats.com/en/furnished-apartment/fantastic-flat-in-mitte/5f23e44868cca50006136c72?dataLayerKey=m7slvBU9FCNjqTJY9vkKm,['Fantastic'],['flat'],['Mitte']
"Modern suite in Prenzlauer Berg, Berlin","€1,950",1,1,50 m²,https://wunderflats.com/en/furnished-apartment/modern-suite-in-prenzlauer-berg-berlin/5e6978ec1f7edb000662ceb2?dataLayerKey=m7slvBU9FCNjqTJY9vkKm,[],['suite'],"['Modern', 'Prenzlauer', 'Berg', 'Berlin']"
Modern apartment close to city center,"€1,200",2,2,43 m²,https://wunderflats.com/en/furnished-apartment/modern-apartment-close-to-city-center/5cfd6f48e7a817000684a2f5?dataLayerKey=m7slvBU9FCNjqTJY9vkKm,[],"['apartment', 'city', 'center']",['Modern']
"Modern, open-plan rooftop apartment with view over Kreuzberg","€3,200",3,1,115 m²,https://wunderflats.com/en/furnished-apartment/modern-open-plan-rooftop-apartment-with-view-over-kreuzberg/5dea3fb33e316e00077af7a3?dataLayerKey=m7slvBU9FCNjqTJY9vkKm,['open-plan'],"['rooftop', 'apartment', 'view']","['Modern', 'Kreuzberg']"
"Sunny, airy and quiet duplex with balcony in the heart of Köpenick","€2,030",3,2,81 m²,https://wunderflats.com/en/furnished-apartment/sunny-airy-and-quiet-duplex-with-balcony-in-the-heart-of-koepenick/5a5359a4a8417a522e6913af?dataLayerKey=m7slvBU9FCNjqTJY9vkKm,['quiet'],"['airy', 'duplex', 'balcony', 'heart']","['Sunny', 'Köpenick']"
Charming old style apartment in Berlin Mitte,"€2,280",3,2,75 m²,https://wunderflats.com/en/furnished-apartment/charming-old-style-apartment-in-berlin-mitte/5c8633b718e14a000750d7e2?dataLayerKey=m7slvBU9FCNjqTJY9vkKm,['old'],"['style', 'apartment']","['Berlin', 'Mitte']"
Quiet apartment in excellent location,"€2,020",3,2,66.01 m²,https://wunderflats.com/en/furnished-apartment/quiet-apartment-in-excellent-location/5e95ac48b8e5070006124e81?dataLayerKey=m7slvBU9FCNjqTJY9vkKm,"['Quiet', 'excellent']","['apartment', 'location']",[]
"Great, neat studio (Prenzlauer Berg)",€480,1,1,32 m²,https://wunderflats.com/en/furnished-apartment/great-neat-studio-prenzlauer-berg/602ce048b0c7e300076d0624?dataLayerKey=m7slvBU9FCNjqTJY9vkKm,['neat'],['studio'],"['Great', 'Prenzlauer', 'Berg']"
Cozy & modern apartment in Prenzlauer Berg,"€1,800",2,1,53.11 m²,https://wunderflats.com/en/furnished-apartment/cozy-and-modern-apartment-in-prenzlauer-berg/5f0888a4c079ea0006ca65fc?dataLayerKey=m7slvBU9FCNjqTJY9vkKm,['modern'],['apartment'],"['Cozy', 'Prenzlauer', 'Berg']"
"Quiet, gorgeous studio in Mitte (Berlin)","€1,350",1,1,40 m²,https://wunderflats.com/en/furnished-apartment/quiet-gorgeous-studio-in-mitte-berlin/579b16f5f8045697b23675e1?dataLayerKey=m7slvBU9FCNjqTJY9vkKm,"['Quiet', 'gorgeous']",['studio'],"['Mitte', 'Berlin']"
Beautiful and charming studio in Schöneberg,"€1,799",2,1,60 m²,https://wunderflats.com/en/furnished-apartment/beautiful-and-charming-studio-in-schoeneberg/5d4151612478db00072d463f?dataLayerKey=m7slvBU9FCNjqTJY9vkKm,[],['studio'],"['Beautiful', 'Schöneberg']"
Attractive 2-room maisonette located in Berlin,"€1,490",2,2,67 m²,https://wunderflats.com/en/furnished-apartment/attractive-2-room-maisonette-located-in-berlin/5f539f4b843f6f00066429b7?dataLayerKey=m7slvBU9FCNjqTJY9vkKm,"['Attractive', '2-room']",['maisonette'],['Berlin']
"Attractively furnished 2 room apartment - quiet, but in the middle of it all","€1,670",2,1,51.61 m²,https://wunderflats.com/en/furnished-apartment/attractively-furnished-2-room-apartment-quiet-but-in-the-middle-of-it-all/600697e2d804ee0006dde152?dataLayerKey=m7slvBU9FCNjqTJY9vkKm,"['furnished', 'quiet']","['room', 'apartment', 'middle']",[]
Charming house in a quiet surrounding,"€1,300",2,1,53 m²,https://wunderflats.com/en/furnished-apartment/charming-house-in-a-quiet-surrounding/5aa6a04499bffc1647683b5f?dataLayerKey=m7slvBU9FCNjqTJY9vkKm,['quiet'],"['house', 'surrounding']",[]
"Awesome, wonderful flat in Moabit","€1,250",2,1,49 m²,https://wunderflats.com/en/furnished-apartment/awesome-wonderful-flat-in-moabit/5ddd430f32cb680008f9d9cd?dataLayerKey=m7slvBU9FCNjqTJY9vkKm,"['wonderful', 'flat']",[],"['Awesome', 'Moabit']"
"Cozy studio near Helmholtzplatz, Prenzlauer Berg","€1,460",1,1,40 m²,https://wunderflats.com/en/furnished-apartment/cozy-studio-near-helmholtzplatz-prenzlauer-berg/5e79aa5317d4dd00066c85af?dataLayerKey=m7slvBU9FCNjqTJY9vkKm,[],['studio'],"['Cozy', 'Helmholtzplatz', 'Prenzlauer', 'Berg']"
Modern and perfect apartment with balcony in Wilmersdorf,"€1,290",2,1,50 m²,https://wunderflats.com/en/furnished-apartment/modern-and-perfect-apartment-with-balcony-in-wilmersdorf/60cc93c5dc8776000804f83a?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,['perfect'],"['apartment', 'balcony']","['Modern', 'Wilmersdorf']"
Spacious loft located in Charlottenburg,"€2,500",4,2,127 m²,https://wunderflats.com/en/furnished-apartment/spacious-loft-located-in-charlottenburg/5d83bb4e39e9d30006644797?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,['Spacious'],['loft'],['Charlottenburg']
Spacious and quiet flat close to park,"€1,200",1,1,35 m²,https://wunderflats.com/en/furnished-apartment/spacious-and-quiet-flat-close-to-park/570bd2aa209fe499cdce2e4a?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,"['Spacious', 'quiet', 'flat']",[],[]
Awesome and great apartment in Rosenthal,"€1,000",2,1,46 m²,https://wunderflats.com/en/furnished-apartment/awesome-and-great-apartment-in-rosenthal/60c9dbea6623a6000788252c?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,['great'],['apartment'],"['Awesome', 'Rosenthal']"
Great and lovely flat !!,€905,1,1,33 m²,https://wunderflats.com/en/furnished-apartment/great-and-lovely-flat/5762bd2d938dc3395ad0ab13?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,['flat'],[],['Great']
Beautiful two-room apartment with high-quality furnishings in a central location in Friedrichshain (Berlin),"€1,670",2,1,59 m²,https://wunderflats.com/en/furnished-apartment/beautiful-two-room-apartment-with-high-quality-furnishings-in-a-central-location-in-friedrichshain-berlin/5e3160fb3313b400061468a3?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,"['Beautiful', 'two-room', 'high-quality', 'central']","['apartment', 'location']","['Friedrichshain', 'Berlin']"
Awesome and beautiful twin studio in Karlshorst (Berlin),"€1,200",1,1,25 m²,https://wunderflats.com/en/furnished-apartment/g/awesome-and-beautiful-twin-studio-in-karlshorst-berlin/ByhN4X-6l?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,['beautiful'],"['twin', 'studio']","['Awesome', 'Karlshorst', 'Berlin']"
Stylish attic apartment near KaDeWe,"€7,500",7,9,224 m²,https://wunderflats.com/en/furnished-apartment/stylish-attic-apartment-near-kadewe/5d9c85ea0a6f2300073d9938?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,"['Stylish', 'attic']",['apartment'],['KaDeWe']
"Modern studio in Friedrichsfelde, Berlin",€720,1,1,18 m²,https://wunderflats.com/en/furnished-apartment/g/modern-studio-in-friedrichsfelde-berlin/rJqsc1eYQ?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,['Modern'],['studio'],"['Friedrichsfelde', 'Berlin']"
Hotspot discovery - yet calm for resting,"€1,590",2,1,47 m²,https://wunderflats.com/en/furnished-apartment/hotspot-discovery-yet-calm-for-resting/5e70c7aff388c90006527440?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,[],"['discovery', 'calm']",['Hotspot']
Spacious & modern suite in Mitte,"€2,685",2,1,65 m²,https://wunderflats.com/en/furnished-apartment/spacious-and-modern-suite-in-mitte/5f48fa0f3fadac000791bb99?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,['modern'],['suite'],"['Spacious', 'Mitte']"
"Cute, beautiful apartment in Adlershof","€1,650",1,1,34 m²,https://wunderflats.com/en/furnished-apartment/cute-beautiful-apartment-in-adlershof/5c5c272a0fc61900052dee73?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,['beautiful'],['apartment'],"['Cute', 'Adlershof']"
Quiet 1-bedroom apartment with balcony (4683),"€1,750",2,1,55 m²,https://wunderflats.com/en/furnished-apartment/quiet-1-bedroom-apartment-with-balcony-4683/56c5d7ce1ef9bf5095a9d7ba?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,"['Quiet', '1-bedroom']","['apartment', 'balcony']",[]
"Gorgeous, clean home, Berlin-Mitte","€1,395",2,2,48 m²,https://wunderflats.com/en/furnished-apartment/gorgeous-clean-home-berlin-mitte/56fd515240fda529a2891061?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,"['Gorgeous', 'clean']",['home'],['Berlin-Mitte']
Stylish apartment in Chausseestrasse,"€1,790",2,1,50 m²,https://wunderflats.com/en/furnished-apartment/stylish-apartment-in-chausseestrasse/5cab47082df5a200071b728e?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,['Stylish'],['apartment'],['Chausseestrasse']
Upscale furnished 2 room apartment near Heiliger See in an exclusive villa,"€2,412",2,1,59.4 m²,https://wunderflats.com/en/furnished-apartment/upscale-furnished-2-room-apartment-near-heiliger-see-in-an-exclusive-villa/5f47599918ffd10006230936?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,['exclusive'],"['room', 'apartment', 'villa']","['Upscale', 'Heiliger', 'See']"
Bright and fully furnished apartment in Berlin (Tempelhof-Schöneberg),"€1,690",3,3,70 m²,https://wunderflats.com/en/furnished-apartment/bright-and-fully-furnished-apartment-in-berlin-tempelhof-schoeneberg/5b618ad496161c2f7c9e5e9c?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,['furnished'],['apartment'],"['Bright', 'Berlin', 'Tempelhof-Schöneberg']"
"Wonderful and perfect loft in Mitte, Berlin",€950,1,1,28 m²,https://wunderflats.com/en/furnished-apartment/wonderful-and-perfect-loft-in-mitte-berlin/5d23476630c14c0009a0d4c8?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,"['Wonderful', 'perfect']",['loft'],"['Mitte', 'Berlin']"
Awesome and fashionable home in Mitte,€950,1,1,28 m²,https://wunderflats.com/en/furnished-apartment/awesome-and-fashionable-home-in-mitte/5c01121ea704530009539a85?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,['fashionable'],['home'],"['Awesome', 'Mitte']"
"Great, bright apartment in the popular district with free wifi !","€1,100",2,2,42 m²,https://wunderflats.com/en/furnished-apartment/great-bright-apartment-in-the-popular-district-with-free-wifi/56eac1a029cf2ed74ae222f2?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,"['bright', 'popular', 'free']","['apartment', 'district', 'wifi']",['Great']
Spacious loft (Gesundbrunnen),"€1,250",1,1,39 m²,https://wunderflats.com/en/furnished-apartment/spacious-loft-gesundbrunnen/5ef5b2c82adc170007751544?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,['Spacious'],['loft'],['Gesundbrunnen']
Lovely & fashionable suite (Berlin),"€2,430",3,2,86.97 m²,https://wunderflats.com/en/furnished-apartment/lovely-and-fashionable-suite-berlin/5e95b47836d22b0007442ed4?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,['fashionable'],['suite'],['Berlin']
Lifestyle Studio w/ balcony at Potsdamer Platz (Berlin Mitte),"€1,220",1,1,28 m²,https://wunderflats.com/en/furnished-apartment/lifestyle-studio-w-balcony-at-potsdamer-platz-berlin-mitte/5e7723d491c9560007f027d5?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,['Lifestyle'],"['w/', 'balcony']","['Studio', 'Potsdamer', 'Platz', 'Berlin', 'Mitte']"
Lovely studio (Charlottenburg),"€1,500",2,1,69 m²,https://wunderflats.com/en/furnished-apartment/lovely-studio-charlottenburg/5b7426c821371a4c6313e085?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,[],['studio'],['Charlottenburg']
Bright and large 3 room apartment directly at Tempelhofer Feld (Berlin),"€3,050",3,3,117 m²,https://wunderflats.com/en/furnished-apartment/bright-and-large-3-room-apartment-directly-at-tempelhofer-feld-berlin/5fc8dbc85699c10007814aa4?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,['large'],"['room', 'apartment']","['Bright', 'Tempelhofer', 'Feld', 'Berlin']"
"New, spacious flat with nice city view","€1,650",3,2,75 m²,https://wunderflats.com/en/furnished-apartment/new-spacious-flat-with-nice-city-view/5cf7759d8ca3280008e2e812?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,"['spacious', 'flat', 'nice']","['city', 'view']",['New']
Cozy and new flat in Lichtenberg,"€1,299",2,2,56.5 m²,https://wunderflats.com/en/furnished-apartment/cozy-and-new-flat-in-lichtenberg/5e0b19746b9d0a00063083d8?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,"['new', 'flat']",[],"['Cozy', 'Lichtenberg']"
2 room apartment in Schöneberg/Friedenau with green balcony,"€1,600",2,1,72 m²,https://wunderflats.com/en/furnished-apartment/2-room-apartment-in-schoenebergfriedenau-with-green-balcony/5f69f93e1e4ae70006a60630?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,['green'],"['room', 'apartment', 'balcony']",['Schöneberg/Friedenau']
Fantastic and beautiful studio in Charlottenburg,"€1,150",1,1,33 m²,https://wunderflats.com/en/furnished-apartment/fantastic-and-beautiful-studio-in-charlottenburg/5e99ea7e7c43a800062956e8?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,"['Fantastic', 'beautiful']",['studio'],['Charlottenburg']
Fantastic and perfect loft in Stahnsdorf,"€1,060",2,1,62 m²,https://wunderflats.com/en/furnished-apartment/fantastic-and-perfect-loft-in-stahnsdorf/5dd9397c2c83890008bc7ca1?dataLayerKey=olGx1A6bnwpf_H2lEc1ZA,"['Fantastic', 'perfect']",['loft'],['Stahnsdorf']
spacious designers loft berlin kreuzberg with private park entry,"€2,900",2,2,114 m²,https://wunderflats.com/en/furnished-apartment/spacious-designers-loft-berlin-kreuzberg-with-private-park-entry/5ceea574f3497900074aac7b?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,"['spacious', 'private']","['park', 'entry']",[]
Modern apartment in Charlottenburg with balcony,"€1,100",2,1,43 m²,https://wunderflats.com/en/furnished-apartment/modern-apartment-in-charlottenburg-with-balcony/5e452c8e9d46e100064444b4?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,['Modern'],"['apartment', 'balcony']",['Charlottenburg']
Studio with wifi - kitchen - balcony (parking upon request),"€2,250",1,1,34 m²,https://wunderflats.com/en/furnished-apartment/g/studio-with-wifi-kitchen-balcony-parking-upon-request/ZXD8Lon5yj?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,['wifi'],"['Studio', 'kitchen', 'balcony', 'request']",[]
"Cosy, quiet apartment between Zionskirchplatz and Rosenthaler Platz, bright","€1,300",2,1,51 m²,https://wunderflats.com/en/furnished-apartment/cosy-quiet-apartment-between-zionskirchplatz-and-rosenthaler-platz-bright/59ee0582ec409ee68fcd7309?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,['quiet'],['apartment'],"['Cosy', 'Zionskirchplatz', 'Rosenthaler', 'Platz']"
Top Luxury Space Spree Mitte Berlin,"€2,300",3,2,70 m²,https://wunderflats.com/en/furnished-apartment/top-luxury-space-spree-mitte-berlin/5fa3ad171589d400064ec2c5?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,['Top'],[],"['Luxury', 'Space', 'Spree', 'Mitte', 'Berlin']"
Light-flooded 3-room apartment with a loft-like living area in the middle of Kreuzberg,"€1,930",3,1,64.33 m²,https://wunderflats.com/en/furnished-apartment/light-flooded-3-room-apartment-with-a-loft-like-living-area-in-the-middle-of-kreuzberg/5f35349d836e81000677c703?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,"['Light-flooded', '3-room', 'loft-like']","['apartment', 'living', 'area', 'middle']",['Kreuzberg']
Pretty loft located in Mahlsdorf,"€1,100",3,2,50 m²,https://wunderflats.com/en/furnished-apartment/pretty-loft-located-in-mahlsdorf/5fdf03173e219c00079078ae?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,['loft'],[],['Mahlsdorf']
"Wonderful, awesome studio","€1,990",2,1,33 m²,https://wunderflats.com/en/furnished-apartment/wonderful-awesome-studio/56c1eb181f7cabbf9dd4a8b0?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,['awesome'],['studio'],['Wonderful']
Wonderful Appartment in Mitte (Berlin),"€1,650",2,2,55 m²,https://wunderflats.com/en/furnished-apartment/wonderful-appartment-in-mitte-berlin/5dd5614c41b81f000605ebde?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,['Wonderful'],[],"['Appartment', 'Mitte', 'Berlin']"
Large & bright apartment in best location,"€2,400",3,1,100 m²,https://wunderflats.com/en/furnished-apartment/large-and-bright-apartment-in-best-location/5f85615f8678f9000683b1d0?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,"['Large', 'bright']","['apartment', 'location']",[]
"Bright, great suite in Adlershof","€1,848",1,1,33 m²,https://wunderflats.com/en/furnished-apartment/g/bright-great-suite-in-adlershof/cOerTiEii?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,['great'],['suite'],"['Bright', 'Adlershof']"
"Modern apartment in Weißensee, Berlin","€2,100",2,2,100 m²,https://wunderflats.com/en/furnished-apartment/modern-apartment-in-weissensee-berlin/5dbb0e85dfa3610008aa50d6?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,['Modern'],['apartment'],"['Weißensee', 'Berlin']"
Fashionable loft with calm neighbourhood in Berlin Mitte,"€1,969",2,1,54 m²,https://wunderflats.com/en/furnished-apartment/fashionable-loft-with-calm-neighbourhood-in-berlin-mitte/5973a07eabaec87cfa1c7581?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,"['Fashionable', 'calm']","['loft', 'neighbourhood']","['Berlin', 'Mitte']"
Wonderful studio in Lichterfelde,"€1,500",1,2,80 m²,https://wunderflats.com/en/furnished-apartment/wonderful-studio-in-lichterfelde/609a7f683392f3000702f598?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,['Wonderful'],['studio'],['Lichterfelde']
Berlin Lifestyle on the Kudamm,"€1,200",1,2,33 m²,https://wunderflats.com/en/furnished-apartment/berlin-lifestyle-on-the-kudamm/60db284bb77c6a0007cba736?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,[],[],"['Berlin', 'Lifestyle', 'Kudamm']"
Perfect location-Fresh reburbished oasis of peace in the middle of the city,"€1,540",2,1,57 m²,https://wunderflats.com/en/furnished-apartment/perfect-location-fresh-reburbished-oasis-of-peace-in-the-middle-of-the-city/5cc429286fd7560006cc9564?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,"['Perfect', 'location-Fresh', 'reburbished']","['oasis', 'peace', 'middle', 'city']",[]
Perfect studio (Charlottenburg),"€1,000",1,3,18 m²,https://wunderflats.com/en/furnished-apartment/perfect-studio-charlottenburg/60a776ba76eb9b0007c15936?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,['Perfect'],['studio'],['Charlottenburg']
Gorgeous home in Lichtenrade,"€1,300",1,1,56 m²,https://wunderflats.com/en/furnished-apartment/gorgeous-home-in-lichtenrade/6030b0073b86250007d73dc1?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,['Gorgeous'],['home'],['Lichtenrade']
Fashionable & pretty loft located in Mitte,"€2,540",2,1,65 m²,https://wunderflats.com/en/furnished-apartment/fashionable-and-pretty-loft-located-in-mitte/5f490dbaf8a2bb0006f506c2?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,['loft'],[],"['Fashionable', 'Mitte']"
Rhina - Fashionable and spacious apartment in Prenzlauer Berg,"€2,350",3,1,90 m²,https://wunderflats.com/en/furnished-apartment/rhina-fashionable-and-spacious-apartment-in-prenzlauer-berg/5b451f3c03b0b0d35986f511?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,"['Fashionable', 'spacious']",['apartment'],"['Rhina', 'Prenzlauer', 'Berg']"
"Bright, amazing loft","€2,115",2,2,38 m²,https://wunderflats.com/en/furnished-apartment/g/bright-amazing-loft/Gg5wkKVG2?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,[],['loft'],['Bright']
"Bright loft in Niederschönhausen, Berlin","€2,950",4,4,100 m²,https://wunderflats.com/en/furnished-apartment/bright-loft-in-niederschoenhausen-berlin/5955522559c14f507a9885c9?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,[],['loft'],"['Bright', 'Niederschönhausen', 'Berlin']"
3-room apartment in an exclusive villa in Potsdam directly at Heiliger See,"€3,410",3,1,84 m²,https://wunderflats.com/en/furnished-apartment/3-room-apartment-in-an-exclusive-villa-in-potsdam-directly-at-heiliger-see/5f47590c0544ba0006769c61?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,"['3-room', 'exclusive']","['apartment', 'villa']","['Potsdam', 'Heiliger', 'See']"
Luxury Tranquill Apartment with Terrace in Mitte,"€2,500",2,1,46 m²,https://wunderflats.com/en/furnished-apartment/luxury-tranquill-apartment-with-terrace-in-mitte/58135b7fe8450705c735f7d1?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,[],[],"['Luxury', 'Tranquill', 'Apartment', 'Terrace', 'Mitte']"
Nice home in Wilmersdorf,"€1,050",2,2,45 m²,https://wunderflats.com/en/furnished-apartment/nice-home-in-wilmersdorf/60c9bb80287bd50007b3f89e?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,[],['home'],"['Nice', 'Wilmersdorf']"
"Wonderful, great loft located in Schöneberg","€6,300",3,8,110 m²,https://wunderflats.com/en/furnished-apartment/wonderful-great-loft-located-in-schoeneberg/5bc5fc6862bdc08f6fe67564?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,"['Wonderful', 'great', 'loft']",[],['Schöneberg']
Loft living in Friedrichshain,"€1,999",1,1,70 m²,https://wunderflats.com/en/furnished-apartment/loft-living-in-friedrichshain/5f16beb12dea770007599ac4?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,[],['living'],"['Loft', 'Friedrichshain']"
"Quiet apartment in the center of Lankwitz, district Steglitz-Zehlendorf in the southwestern part of Berlin","€1,200",2,2,44 m²,https://wunderflats.com/en/furnished-apartment/quiet-apartment-in-the-center-of-lankwitz-district-steglitz-zehlendorf-in-the-southwestern-part-of-berlin/60b11bc7908f9c000839806d?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,"['Quiet', 'southwestern']","['apartment', 'center', 'district', 'part']","['Lankwitz', 'Steglitz-Zehlendorf', 'Berlin']"
Nice loft in Tempelhof,"€1,390",1,2,45 m²,https://wunderflats.com/en/furnished-apartment/nice-loft-in-tempelhof/60d480327587370007ffcb96?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,[],['loft'],"['Nice', 'Tempelhof']"
Beautiful 2-room apartment in Prenzlauer Berg,"€1,890",2,4,70 m²,https://wunderflats.com/en/furnished-apartment/g/beautiful-2-room-apartment-in-prenzlauer-berg/HJJ-95i6TIQg?dataLayerKey=IyMP5CPRX-1LgSU26hSB5,"['Beautiful', '2-room']",['apartment'],"['Prenzlauer', 'Berg']"
Pretty and quiet flat located in Glienicke/Nordbahn,"€1,350",2,2,76 m²,https://wunderflats.com/en/furnished-apartment/pretty-and-quiet-flat-located-in-glienickenordbahn/5e57e7d2830f60000602a633?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,"['quiet', 'flat']",[],"['Pretty', 'Glienicke/Nordbahn']"
Sunny and cozy Studio with balcony at the Park in Prenzlauer Berg,€990,1,1,30 m²,https://wunderflats.com/en/furnished-apartment/sunny-and-cozy-studio-with-balcony-at-the-park-in-prenzlauer-berg/593eb7eccd403b889967f8d6?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,['cozy'],['balcony'],"['Sunny', 'Studio', 'Park', 'Prenzlauer', 'Berg']"
Modern studio in Charlottenburg-Nord,"€2,250",4,8,70 m²,https://wunderflats.com/en/furnished-apartment/g/modern-studio-in-charlottenburg-nord/5OARq3xye?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,['Modern'],['studio'],['Charlottenburg-Nord']
Nice and great apartment in vibrant neighbourhood,"€1,100",2,1,57 m²,https://wunderflats.com/en/furnished-apartment/nice-and-great-apartment-in-vibrant-neighbourhood/5bf968da69f4090009dd2b51?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,"['great', 'vibrant']","['apartment', 'neighbourhood']",['Nice']
Charming and fantastic loft in nice area,€980,2,1,37 m²,https://wunderflats.com/en/furnished-apartment/charming-and-fantastic-loft-in-nice-area/60a7647f7303cf00074f129f?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,"['fantastic', 'nice']","['loft', 'area']",[]
Great and amazing suite in Karlshorst,"€1,500",1,1,37 m²,https://wunderflats.com/en/furnished-apartment/g/great-and-amazing-suite-in-karlshorst/Hk64UG-ax?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,[],['suite'],"['Great', 'Karlshorst']"
Newly renovated before use Fully furnished apartment on the canal of Paul Lincke Ufer Canal !!,"€1,590",2,1,51 m²,https://wunderflats.com/en/furnished-apartment/newly-renovated-before-use-fully-furnished-apartment-on-the-canal-of-paul-lincke-ufer-canal/5a520f12a8417a522e6912c5?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,[],"['use', 'apartment', 'canal']","['Fully', 'Paul', 'Lincke', 'Ufer', 'Canal']"
Modern Penthouse,"€1,600",2,2,62 m²,https://wunderflats.com/en/furnished-apartment/modern-penthouse/5bde7678b7b75e0a8b5c13a6?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,[],[],"['Modern', 'Penthouse']"
"Cool design loft in calm, central & unique area","€2,500",3,2,87 m²,https://wunderflats.com/en/furnished-apartment/cool-design-loft-in-calm-central-and-unique-area/6017ca020d24f50006801308?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,"['central', 'unique']","['design', 'loft', 'calm', 'area']",['Cool']
Exclusive Altbau in one of Berlin Mitte's most beautiful street,"€3,250",3,2,100 m²,https://wunderflats.com/en/furnished-apartment/exclusive-altbau-in-one-of-berlin-mittes-most-beautiful-street/60d0cdbcc12db100073690eb?dataLayerKey=4BxLwDA0yTUq5VBL0P0aJ,"['Exclusive', 'beautiful']",['street'],"['Altbau', 'Berlin', 'Mitte']"
